,,prix_au_m2,count,min,max,nom_commune
3310.0,Maison,1059.5927504379792,21,558.5106382978723,2477.1739130434785,Néris-les-Bains
3320.0,Maison,988.2275625925345,16,512.8205128205128,2315.7894736842104,Lurcy-Lévis
3330.0,Appartement,8250.0,1,8250.0,8250.0,Échassières
3330.0,Maison,908.1750125753922,13,523.343373493976,1333.3333333333333,Échassières
3340.0,Maison,1160.8474301156175,20,516.6666666666666,2368.4210526315787,Neuilly-le-Réal
3350.0,Maison,960.7977260848705,9,673.0769230769231,1622.8971962616822,Cérilly
3360.0,Maison,944.7352066524754,17,535.7142857142857,1608.695652173913,Braize
3370.0,Maison,1026.616244063749,15,511.3636363636364,3280.0,Chambérat
3380.0,Maison,1021.9931783952956,31,511.1940298507463,1924.0506329113923,Huriel
3390.0,Maison,977.0894356407435,11,544.4444444444445,2741.0714285714284,Saint-Bonnet-de-Four
3400.0,Appartement,1173.0038076006651,15,677.9661016949152,1674.6835443037974,Yzeure
3400.0,Maison,1437.4813912483146,49,520.8333333333334,3084.2105263157896,Yzeure
3410.0,Appartement,978.2980177717021,3,857.1428571428571,1090.909090909091,Domérat
3410.0,Maison,1197.1709948400965,52,505.6179775280899,2690.0,Prémilhat
3420.0,Maison,866.532552199875,13,527.7777777777778,1533.3333333333333,Arpheuilles-Saint-Priest
3430.0,Maison,1044.9294114593197,16,523.8095238095239,1940.2985074626865,Villefranche-d'Allier
3440.0,Maison,862.4777442103044,8,525.0,1431.3725490196077,Buxières-les-Mines
3450.0,Appartement,909.0909090909091,1,909.0909090909091,909.0909090909091,Ébreuil
3450.0,Maison,1088.0273730607141,13,518.918918918919,1864.6739130434783,Ébreuil
3460.0,Maison,1365.2481763700946,6,586.6666666666666,2068.9632584269666,Villeneuve-sur-Allier
3470.0,Maison,1503.943915475501,8,806.4516129032259,3676.3541666666665,Coulanges
3500.0,Appartement,903.484597714985,5,717.1717171717172,1189.4736842105262,Saint-Pourçain-sur-Sioule
3500.0,Maison,1059.5353708519422,36,507.8125,2255.733333333333,Saint-Pourçain-sur-Sioule
3510.0,Maison,1036.0413476523327,8,587.3015873015873,1698.9795918367347,Chassenard
3600.0,Appartement,675.6407278358498,3,622.8571428571429,733.3333333333334,Commentry
3600.0,Maison,946.7072811810277,26,512.0481927710844,1833.3333333333333,Malicorne
3630.0,Appartement,684.2105263157895,2,578.9473684210526,789.4736842105264,Désertines
3630.0,Maison,957.4791705126488,13,587.6760563380282,2036.144578313253,Désertines
